airac 2609
ORIGIN	DEST	ROUTE	CREATION_AIRAC	AUTHOR
PABE	PANC	PABE DCT ACRAN T269 SQA DCT PANC	2608	LainoaSoftware
VABB	VOGA	VABB DCT MB397 DCT BBB B211 MABTA W15 UDULO DCT VOGA	2608	LainoaSoftware
VHHH	RJCC	VHHH DCT DUMEP V621 ELATO A1 IGMON Z40 FUE V28 DGC Y14 SAMON Z17 MRE V13 TIKYU Y13 SIRAO V13 CHE DCT RJCC	2608	LainoaSoftware
VIDP	VANP	VIDP DCT AKRIB Z16 BULDI W19 BPL W38 NNP DCT VANP	2607	LainoaSoftware
VOGA	VABB	VOGA DCT EPKOS DCT VABB	2608	LainoaSoftware
VVTS	VVDL	VVTS DCT AC DCT LUTRI DCT VVDL	2608	LainoaSoftware
ZBAD	ZLLL	ZBAD DCT PEGSO B215 OROXU DCT ZLLL	2608	LainoaSoftware
ZBSJ	ZUTF	ZBSJ DCT ADBES B215 OVKOM W287 MENED W276 ANRUG W279 ONEBA G212 BUPMI DCT ZUTF	2608	LainoaSoftware
ZGOW	ZUTF	ZGOW DCT DOTMI DCT SAMMI J101 PONTI DCT BEKOL DCT KEVAR DCT SAREX DCT POU A599 AVPAM B330 GMC W523 Y W524 PA W2 SJG G586 LAGEX W182 UGUGU V50 VILUS DCT SEGDA W678 CKG DCT CM911 DCT INVOG DCT CM931 DCT URGEG W80 AKOPI DCT ZUTF	2608	LainoaSoftware
ZLLL	ZWWW	ZLLL DCT LELUX B215 IBANO G470 AKLAS W192 FKG DCT ZWWW	2608	LainoaSoftware
ZPLJ	ZUTF	ZPLJ DCT SB W162 KAKMI W144 IGNAK DCT ZUTF	2608	LainoaSoftware
ZSPD	VVTS	ZSPD DCT ADBAS DCT HC207 DCT DUBGO W134 ELNEX A599 PLT W19 NOMAR DCT GG538 DCT IDUMA W22 GUBLO DCT SMT DCT BIGEX L642 VEPAM L628 PCA W12 RUNOP DCT VVTS	2608	LainoaSoftware
ZSQD	ZHHH	ZSQD DCT DYN W4 IPNIT W37 PONUD DCT ZHHH	2608	LainoaSoftware
ZUCK	ZSQD	ZUCK DCT GUVIV DCT AKNIP W4 SUDGO DCT KABMO DCT SHX W152 LIMGI W4 WXI W59 SUNOK W103 WFG DCT ZSQD	2608	LainoaSoftware
ZUGY	ZSNB	ZUGY DCT DAGVO DCT UGUGU V50 TAXOR A581 WHA R343 UPLEL W95 SAPIN A470 AKDIM DCT HGH W506 OKTUG B221 AND DCT ZSNB	2608	LainoaSoftware
ZUTF	ZGOW	ZUTF DCT UBRAB B213 IVSOL W180 VILUS V50 UGUGU W182 LAGEX G586 SJG B330 GMC G586 WYN W18 NOMAR DCT GG538 DCT SULAS DCT VIPAP R200 BEBEM A470 SWA DCT ZGOW	2608	LainoaSoftware
UUEE	UWUU	UUEE DCT KOGOM L94 USTOK DCT STR DCT OSVUP KR395 NAMER T765 GEMKI L94 NATBI L93 OGMEL DCT UWUU	2608	LainoaSoftware
CYQU	CYYC	CYQU DCT MATIR DCT CYYC	2608	LainoaSoftware
EDDF	LIML	EDDF DCT ANEKI Y163 PABLA DCT TUBLO N850 TRA M858 SRN DCT LIML	2608	LainoaSoftware
KBOS	EGLL	KBOS DCT SSOXS Q167 ORCHA T287 SARDI Q439 DUNEE DCT GEDIC Y484 OWENZ N15B JOBOC DCT 4440N DCT 4530N DCT BEDRA DCT GAPLI DCT EVRIN DCT MORAG DCT VATRY DCT NIRIF DCT GUBJE N24 ADHAV P70 AGCAT Q63 ZIPWE L180 LEKCI P4 HAWFA L607 YORQI N21 CAWZE P2 SIRIC DCT EGLL	2608	LainoaSoftware
KDEN	KTUL	KDEN DCT DUUZE DCT WILVA V17 GLD J182 COODY DCT VINTA DCT KTUL	2608	LainoaSoftware
KEWR	KRDU	KEWR DCT BIGGY DCT SOMTO V433 DQO V170 SWANN DCT TUNDR T291 SHLBK T224 TAPPA T295 HOUKY DCT KRDU	2608	LainoaSoftware
KIAH	KSLC	KIAH DCT DREMR DCT ZMSKL V477 LITLD J33 FUZ J58 SPS J168 LAA J102 ALS J206 HBU V484 JNC J12 HELPR DCT KSLC	2608	LainoaSoftware
KJFK	KSEA	KJFK DCT KSEA	2608	LainoaSoftware
KLAX	RCTP	KLAX DCT JRGSN DCT DARTS V459 SAUGS V165 AMONT V459 TTE V165 EXTRA T401 ALTTA V459 FRA V332 RBL J1 OED J501 TOU J523 YZP Q801 MOCKA T757 FRIED J804R MDO Q16 ODK R341 NATES R220 IXE Y88 SWING Y121 LABEL Y50 KOSHI A1 DRAKE DCT RCTP	2608	LainoaSoftware
KPIA	KORD	KPIA DCT TRICH DCT KORD	2608	LainoaSoftware
KRIC	KATL	KRIC DCT DRAIK DCT HURTT DCT PIGGS T414 BONZE T224 VAESE DCT JALIT DCT OBURY DCT LEAVI DCT KATL	2608	LainoaSoftware
KSEA	KJFK	KSEA DCT NORMY J90 HLN GEP DLL HASTE DAFLU J70 JHW Q476 WLKES DCT KJFK	2608	LainoaSoftware
LFSB	BKPR	LFSB DCT OLBEN Z50 RESIA P131 ADOSA L612 CHI L614 SOLGU M867 MEDUX DCT BKPR	2608	LainoaSoftware
LPPT	LIRF	LPPT DCT ORVED DCT TOFEF N870 BCN N725 OSPOK DCT PELOS M623 MINKA L5 VALMA DCT LIRF	2608	LainoaSoftware
LTFJ	OEJN	LTFJ DCT EKAWE T643 ATPIX DCT NUGBA DCT AKCAK L601 BAG A28 LCA B17 MERVA H14 NAT Z91 SALAM DCT MOUAB M319 QTR01 L513 MUNRA M449 WEJ J852 KULKI T510 RBG B544 NOMDA DCT OEJN	2608	LainoaSoftware
NCRG	NCAI	NCRG DCT BIGAN B596 AI DCT TORIX DCT NCAI	2607	LainoaSoftware
RJFU	RJOO	RJFU DCT DGC V28 WASYU DCT INOOK DCT AVKUL DCT SHION DCT AWAJI DCT TOMOH DCT IZUMI DCT RJOO	2608	LainoaSoftware
SABE	SBFL	SABE DCT LANDA N785 GUA G680 BGE A314 COA A309 NELOX UN857 ITBEB UM540 DADMO DCT SBFL	2608	LainoaSoftware
SBGR	SBMO	SBGR DCT NIBRU UZ171 KEVUN DCT IMDAB UZ42 ANBEX DCT UDOSA DCT MO008 DCT SBMO	2607	LainoaSoftware
VIDP	VIJP	VIDP DCT DUDUM A474 IGOLU DCT VIJP	2608	LainoaSoftware
WSSS	RJTT	WSSS DCT IDBUD T24 SURGA M635 JUNHA T21 TOMAN L625 MEVIN B462 KAZIK Y59 AZAMA Y57 YULIA Y89 GUPER Y81 MOE V18 XAC DCT RJTT	2608	LainoaSoftware
ZGNN	ZSNJ	ZGNN DCT VAPNA R474 IGBAB W120 ENKUS R343 GOSMA W82 UPMAT W686 UDUMI DCT HH803 DCT IGDEN DCT ATLUT R343 HFE DCT ZSNJ	2608	LainoaSoftware
ZHHH	ZSQD	ZHHH DCT BENBI W56 OKTOX DCT AKOMA A461 WXI W59 SUNOK W103 WFG DCT ZSQD	2608	LainoaSoftware
ZSAM	ZUTF	ZSAM DCT NUSPA W597 IKATA A470 BEBEM R200 GUBLO W22 IDUMA A461 SHL W22 TEPID W24 OSNOV G586 GMC W523 Y W524 PA W2 SJG G586 LAGEX W182 UGUGU V50 VILUS DCT NUDVO DCT QJG DCT WESTI W3 UGOPO W80 AKOPI DCT ZUTF	2608	LainoaSoftware
ZSFZ	ZUCK	ZSFZ DCT DOVPU W643 ATSAB A470 BEBEM R200 GUBLO W21 TEPID W24 OSNOV G586 GMC B330 SJG G586 LAGEX W182 UGUGU V50 VILUS DCT NUDVO DCT SEGDA DCT ZUCK	2608	LainoaSoftware
ZSHC	ZSAM	ZSHC DCT SUPAR B221 LJG A470 ENVEN DCT ZSAM	2608	LainoaSoftware
ZSJN	ZSAM	ZSJN DCT ABTUB A593 DPX A470 SAPIN V143 EMRID A470 ENVEN DCT ZSAM	2608	LainoaSoftware
ZUCK	ZSFZ	ZUCK DCT VILUS V50 UGUGU W182 LAGEX G586 SJG B330 AVPAM A599 POU G471 SHL W22 GUBLO R200 BEBEM A470 ENVEN DCT ZSFZ	2608	LainoaSoftware
ZUTF	ZPLJ	ZUTF DCT LUVEN G212 BOPTU W162 DAL DCT ZPLJ	2608	LainoaSoftware
KBOS	KRSW	KBOS DCT BRUWN V141 ACK Q430 KYSKY Q445 YAZUU Q167 ZJAAY Q108 KALDA Q131 WAALT AR17 BAHAA AR15 HIBAC DCT KRSW	2608	LainoaSoftware
KDEN	KHOU	KDEN DCT SLEEK DCT KINGO V169 TBE J17 KENTO Q154 UKW DCT BATIK J58 FUZ J33 TANBE J87 CHMPZ DCT DARTZ DCT DRILL DCT ELLVR DCT KHOU	2608	LainoaSoftware
KMSY	KDAL	KMSY DCT RCOLA T406 TATER V194 LSU V114 AEX J58 LURIC DCT CARTH V114 GGG V94 CAPTI DCT FELIZ DCT KDAL	2608	LainoaSoftware
KSAN	KLAX	KSAN DCT SAYOW DCT CANNO V460 JLI DCT KLAX	2608	LainoaSoftware
KSEA	KPSC	KSEA DCT OZWLD DCT SEA J20 YKM V204 PSC DCT KPSC	2607	LainoaSoftware
LEZL	LEBL	LEZL DCT BUDIT M445 BEGOX N860 VLC L34 CASIM N608 MATEX DCT LEBL	2608	LainoaSoftware
RJTT	WSSS	RJTT DCT RUTAS DCT AROSA DCT LIGNI Y84 SAMUS T844 ISLOL Y86 YULIA Y293 TONAR Y52 IGURU G581 TULTO Q13 KABAM N892 VMR A224 ADLOV DCT PASPU DCT WSSS	2608	LainoaSoftware
ULMM	UUEE	ULMM DCT PELOR N2 KELEK DCT AGAMO DCT ROGID N87 OKDON T792 VUZPU T873 NIRGI T73 NAMIN DCT UUEE	2608	LainoaSoftware
VOHS	VOVZ	VOHS DCT BBZ W47 RJM W89 VENGU DCT VOVZ	2608	LainoaSoftware
VVNB	ZGSZ	VVNB DCT NAKHA R474 GYA A599 POU W7 SAREX DCT ZGSZ	2608	LainoaSoftware
ZUGY	ZSWZ	ZUGY DCT IVTEX DCT IGLUD W179 ELKAL B330 GMC G586 WYN A599 PLT V171 SHR A599 TUPGA W135 EMRID A470 KAGED DCT ZSWZ	2608	LainoaSoftware
HTKJ	HTZA	HTKJ DCT OKNES L434 ASOLE UT913 EGPET DCT IBLUV DCT HTZA	2607	LainoaSoftware
KBNA	KTPA	KBNA DCT RORRY DCT SYI V321 GAD DCT HANKO DCT HEFIN V243 LGC V321 PZD DCT HONID DCT KTPA	2608	LainoaSoftware
KBZN	KDEN	KBZN DCT DBS J175 LAR DCT KDEN	2608	LainoaSoftware
KDEN	KBWI	KDEN DCT AKO V8 HCT J60 LNK J146 JOT J30 LUISE DCT STORE V44 MGW DCT KBWI	2608	LainoaSoftware
KEUG	KSEA	KEUG DCT HISKU Q5 MINNE DCT UBG DCT KSEA	2608	LainoaSoftware
KPHX	KSTL	KPHX DCT ACH V234 DHT V190 MMB J26 ICT J134 BUM DCT KSTL	2608	LainoaSoftware
KRDU	KORD	KRDU DCT SHPRD DCT OWALT DCT KRITR DCT BZM V259 HMV DCT EMKAY DCT HORAL T215 HILTO DCT DOOGE Q93 HEVAN Q118 BONNT DCT KORD	2609	LainoaSoftware
KSLC	KIAH	KSLC DCT EKR V108 TRUEL DCT LINDZ DCT PITMN Q154 KENTO J17 PNH J58 FUZ J33 TANBE J87 HOMRN DCT KIAH	2608	LainoaSoftware
KTUL	KDFW	KTUL DCT KLAWW DCT KDFW	2608	LainoaSoftware
MMUN	MMSM	MMUN DCT UDGUV UT78 MEDOS UT20 UBVOV UT101 UMAVO T169 VITOS DCT MMSM	2608	LainoaSoftware
MMVR	MMMX	MMVR DCT ELIKU UT110 MEBAS T112 LARLO DCT MMMX	2608	LainoaSoftware
RJAA	ROAH	RJAA DCT SAMUS T844 ISLOL Y86 YULIA Y293 TONAR Y525 ONC A582 OKUMA DCT ROAH	2608	LainoaSoftware
RJCB	RJTT	RJCB DCT RACKO Z14 CAVES V22 SDE Y106 RUBIS Y10 GODIN DCT RJTT	2608	LainoaSoftware
SASA	SABE	SASA DCT PONPI UN525 TUC W8 ERE UW8 PAR B555 GUA UZ129 PAGON DCT SABE	2608	LainoaSoftware
SCSE	SCEL	SCSE DCT TOY T112 SIRUS DCT SCEL	2608	LainoaSoftware
SKUI	SKMD	SKUI DCT OPSAL DCT SKMD	2607	LainoaSoftware
VNNG	VNKT	VNNG DCT THARA W17 NARAN DCT VNKT	2608	LainoaSoftware
VVTS	VHHH	VVTS DCT PATMA W12 PCA G221 BUNTA A1 IDOSI V561 MAPLE DCT LANDA W130 UJ W552 ROMEO DCT SIERA DCT VHHH	2608	LainoaSoftware
ZLIC	ZBAA	ZLIC DCT DOXED W217 VIKON W72 OMGEL W64 GUKDI W277 VARSO W69 GUVBA DCT ZBAA	2608	LainoaSoftware
DNPO	DNAA	DNPO DCT ETVUN H206 ENG J707 NANUV DCT DNAA	2608	LainoaSoftware
KBNA	KDAL	KBNA DCT HODJS DCT SOPIE Q68 LITTR T398 MUFRE DCT BSKAT DCT NEPRE T472 DEENS DCT JRHED DCT KDAL	2608	LainoaSoftware
KCLT	KIAD	KCLT DCT FILDS DCT DOILY DCT BUFIY T424 DBRAH DCT SCUTA DCT RELEE DCT CCHIP DCT KIAD	2608	LainoaSoftware
KDTW	KLAX	KDTW DCT MTRCT DCT ALPHE J34 BAE J101 OBK DCT PETAH DCT DPA V6 IOW J146 HBU J128 PGS V210 GFS DCT SHTNR DCT KLAX	2608	LainoaSoftware
KLAX	KRNO	KLAX DCT GMN V23 EHF V165 EXTRA T401 ALTTA V459 FRA DCT SHERF DCT KRNO	2608	LainoaSoftware
KORF	KATL	KORF DCT GUMPP DCT DRONE T303 KOHLS DCT GUILD Q64 HRTWL T209 DUNKE V266 ELW V311 CORCE DCT WINNG DCT KATL	2608	LainoaSoftware
KPSC	KSEA	KPSC DCT SELAH T261 YKM DCT KSEA	2608	LainoaSoftware
KSEA	KOAK	KSEA DCT ERAVE Q1 ECTOF Q801 HARPR DCT HANDY J1 RBL V195 GONGS T261 JINGO V195 ILA DCT RBUCL DCT KOAK	2608	LainoaSoftware
LEMD	LSGG	LEMD DCT PINAR N870 SEGRE N871 TOPTU DCT ESIDA DCT ETREK DCT LUXAN G53 LTP Z16 BELUS DCT LSGG	2608	LainoaSoftware
OEJN	LTFJ	OEJN DCT BOMOX M686 ORKEN L315 HGD V603 GIDID T91 EMOVA DCT ALSOB V603 SISIK W976 DATOK L550 APLON L609 MAROS A16 EKSEN L610 OSGED L620 APSER L610 ETAMP DCT LTFJ	2608	LainoaSoftware
OMDB	OPIS	OMDB DCT IVURO M677 KUSEN A791 KATUS M316 GOKSO W2 ZDN A453 PAROD G202 ZB Z304 DAMTO DCT OPIS	2608	LainoaSoftware
RJOO	RJOM	RJOO DCT IZUMI DCT UPMIN DCT AWAJI DCT OBLUR DCT KTE V40 MALTA DCT FIATO DCT ITUKI DCT RJOM	2608	LainoaSoftware
RKSI	RPVM	RKSI DCT NOPIK DCT BELTU Y644 MONSI Y711 KIDOS Z81 CJU A586 RUSAR Y27 SAKON A582 SABIG B462 IPATA W25 BATAY DCT RPVM	2608	LainoaSoftware
SABE	SASA	SABE DCT ATOVO UW5 ROS UW20 PAR UW8 ERE UT672 DADMI UT677 ILPAR DCT SASA	2608	LainoaSoftware
SCEL	MPTO	SCEL DCT DILOK Q814 VANIL B560 TOY L302 JCL T311 KALAR UL308 ATATU UM674 QIT G426 TCO UM674 MILAT DCT MPTO	2608	LainoaSoftware
VEAT	VECC	VEAT DCT AKEVO A462 BEMAK DCT VECC	2608	LainoaSoftware
VOBL	VOGA	VOBL DCT GUNIM R461 GONAB DCT VOGA	2608	LainoaSoftware
ZPPP	ZSJN	ZPPP DCT DADOL W144 ZAT W145 IDSID W30 URGUS W91 EGARA W3 DS W4 WXI W59 UBSIS DCT ZSJN	2608	LainoaSoftware
ZYTL	ZSJN	ZYTL DCT ORAVA W576 OVTUP W55 DOVIV V89 UPDAD W4 BASOV DCT ZSJN	2608	LainoaSoftware
CYQU	CYEG	CYQU DCT ITBUG DCT ELLKS DCT CYEG	2608	LainoaSoftware
ZSAM	ZSJN	ZSAM DCT BUPDU DCT FQG A470 EMRID V143 SAPIN A470 DPX A593 ABTUB DCT ZSJN	2608	LainoaSoftware
CYUL	MMUN	CYUL DCT BUGSY DCT TALNO Q951 SSENA T391 ART N844B SYR J59 PSB T477 COFAX V501 MRB T356 ELLON V143 HURTT T356 GSO Q75 SLOJO Q103 EMCET Q69 BLAAN Q99 TEEEM Q109 KNOST M215 CIGAR M219 NAVVL L465 SHARQ UM463 WALKY B879 NOSAT DCT MMUN	2608	LainoaSoftware
EHAM	LPPT	EHAM DCT WOODY N872 MEDIL DCT KIHVI UN872 DIDAK A5 LOTEE M30 VES N872 RALUS UN872 CANAR G41 FTM W7 MAGUM DCT ESEBI DCT LPPT	2608	LainoaSoftware
KATL	KORF	KATL DCT BURGG T398 LOCAS V409 LIB V194 RDU DCT KORF	2608	LainoaSoftware
KATL	KRIC	KATL DCT GAIRY DCT DACHA T224 HARTI V20 ELW V266 DUNKE DCT BURGG Q60 SHIRY DCT KELCE DCT KRIC	2608	LainoaSoftware
KBOI	KPHX	KBOI DCT SPUUD DCT ALKAL DCT ORYDA DCT BROPH Q73 WINEN Q35 CORKR J11 NAVHO Q35 DRK DCT KPHX	2608	LainoaSoftware
KDCA	KCLT	KDCA DCT GLANC DCT AIROW DCT KCLT	2608	LainoaSoftware
KDCA	KJFK	KDCA DCT AGARD T287 DONIL T315 PANZE V44 CAMRN DCT KJFK	2609	LainoaSoftware
KDED	KDAB	KDED DCT GRDON DCT KDAB	2609	LainoaSoftware
KDEN	KBZN	KDEN DCT TAVRN DCT HYGEN DCT RAMMS V575 LAR V118 PUCIP DCT MBW V138 RIW V330 DNW V465 TOCUD DCT KBZN	2608	LainoaSoftware
KJFK	LFPG	KJFK DCT LFPG	2608	LainoaSoftware
KMIA	MROC	KMIA DCT FUNDI M335 ALVEK M328 SELEK UZ403 PIRAS DCT MROC	2608	LainoaSoftware
KPHL	KTPA	KPHL DCT ESSSO DCT RIDGY T224 TAPPA T398 MANGE T287 BOUSY T398 RDU DCT DADDS Q87 VIYAP DCT SIROC T491 WALEE DCT EDISN DCT KTPA	2608	LainoaSoftware
KPIT	KATL	KPIT DCT BURGS V309 HVQ T423 ZOMAD DCT HLRRY DCT KATL	2608	LainoaSoftware
KRSW	KBOS	KRSW DCT CSHEL DCT DOLIE DCT SHEEK DCT FSHUN DCT SABOT DCT ONEWY DCT MALET Q93 WOPNR Q97 SAWED Q108 ZJAAY Q167 RIFLE DCT KBOS	2608	LainoaSoftware
KSEA	KMSP	KSEA DCT BKE V121 DLN V21 HIA J16 BIL T268 DIK J36 FAR V2 AXN DCT KMSP	2608	LainoaSoftware
KSFO	KAUS	KSFO DCT KAYEX DCT PXN T329 MKNNA T331 NTELL Q158 JEDNA DCT LOHLA DCT LAS V105 BLD J72 PGS V291 INW J108 INK V16 PIZON V68 SJT T254 DILLO DCT KAUS	2608	LainoaSoftware
LEBL	LEZL	LEBL DCT SENIA Z596 CRETA N860 VLC M985 YES N747 AMOTA DCT LEZL	2609	LainoaSoftware
LTAU	LTFM	LTAU DCT KISLA A17 YAVRU A4 ERSEN DCT LTFM	2608	LainoaSoftware
MMMX	MMVR	MMMX DCT UKUNO T108 TEVET DCT MMVR	2608	LainoaSoftware
MYNN	MYAM	MYNN DCT INGRA G437 ZQA BR70V MRRSH DCT HONEX DCT MYAM	2607	LainoaSoftware
NZAA	NZPM	NZAA DCT IGBAT Q151 POKOM Q277 OPABI Q102 ADRAD DCT RIMLU DCT IDLUR DCT NZPM	2608	LainoaSoftware
RJTT	RJCB	RJTT DCT ROVER DCT SYE V15 AKAGI Y88 NIKKO Y880 NASNO Y117 NIRAX DCT SUTBA DCT SDE V22 MQE Z13 HIROO Y110 RACKO DCT TAIKI DCT RJCB	2607	LainoaSoftware
RPVM	RKSI	RPVM DCT POXOS G578 GURAG A590 TUNTO R595 SAKON Y27 RUSAR A586 CJU Y722 MAKSA DCT RKSI	2608	LainoaSoftware
SCEL	SCSE	SCEL DCT DONTI Q802 KUGAP DCT SCSE	2608	LainoaSoftware
VANP	VABB	VANP DCT NINAT G450 OPAKA DCT VABB	2608	LainoaSoftware
VOVZ	VOHS	VOVZ DCT VIRKO DCT ANBAS DCT VOHS	2608	LainoaSoftware
WADD	YSSY	WADD DCT ATMAP A576 AS W344 BDV W369 CV W463 AGETA W514 TW W192 SANAD DCT YSSY	2608	LainoaSoftware
ZGSZ	ZBTJ	ZGSZ DCT SULAS V17 UBDOB V18 XEBUL G471 PLT V172 OMKOB W224 PULES W19 NCH W105 XSH V110 HOK A461 ZHO B208 OBMEP W56 LEBUN W57 BEKDO W157 AVBOX DCT ZBTJ	2608	LainoaSoftware
ZLXY	ZSCN	ZLXY DCT KABMO DCT SHX W102 ENSOX B213 WTM W685 IDGAG W80 XSH W105 ISPUP DCT ZSCN	2608	LainoaSoftware
ZSCN	ZLXY	ZSCN DCT ISPUP W105 XSH W80 ATIVU V155 SOSNU W102 VELVI W698 IGEPA DCT ZLXY	2608	LainoaSoftware
ZYTL	ZGGG	ZYTL DCT KARPI W5 GUMED V42 UKMEV V163 NOBUP W569 YQG W568 ABTUB A593 DPX W126 DO V167 ELDIV V166 SEGPI W127 HFE W50 IDUKI V169 EMRAL W105 NCH W19 PLT A599 SALIV DCT ENVIP DCT ZGGG	2608	LainoaSoftware
CYMM	CYYC	CYMM DCT VIKTU DCT YMM Q856 CACHO Q882 DUDNI DCT CYYC	2608	LainoaSoftware
RCQC	RCMQ	RCQC DCT SWORD DCT BURMY DCT FATAN DCT RCMQ	2607	LainoaSoftware
ZWWW	ZWYN	ZWWW DCT NIXER W119 GOBOK A343 IGLOT DCT ZWYN	2608	LainoaSoftware
CYCD	CYVR	CYCD DCT ILATI DCT CYVR	2609	LainoaSoftware
CYVR	KLAX	CYVR DCT ZONUV T355 CVV V165 DIGGN T487 SEA J5 LKV J67 LIN V459 ALTTA T401 EXTRA V165 TTE DCT KLAX	2608	LainoaSoftware
CYYC	CYMM	CYYC DCT PEPGO Q965 RODKU DCT DUDNI Q882 CACHO DCT LEXON DCT CYMM	2608	LainoaSoftware
EGLL	KBOS	EGLL DCT CPT Q63 OZZIL N80 ARPAK L9 NICXI N546 BAKUR DCT PESIT DCT NORLA DCT GAPLI DCT 4820N DCT 4530N DCT 4535N DCT 4440N DCT 4160N DCT SAVIK Y486 MOUGH Y484 CREEL V44 DPK V46 CCC Q97 BLENO Q439 BEEKN Q480 ENE Q822 AJJAY DCT KBOS	2608	LainoaSoftware
FAOR	FAKN	FAOR DCT EXOBI T122 ESVEV UZ36 TILIR DCT FAKN	2608	LainoaSoftware
FAOR	FLKK	FAOR DCT NESAN Q1 TAVLA UM215 DANAM G655 VBU UG655 RETAR DCT FLKK	2608	LainoaSoftware
FAOR	HKJK	FAOR DCT NESAN Q1 IMKUP Q6 OKMUX UP312 UTULI A405 VMV UR409 USUBI M315 TMA36 UM315 TMA32 M315 UTINA UM315 LOSIN DCT HKJK	2608	LainoaSoftware
KAUS	KSFO	KAUS DCT WLMRT DCT SLIMM DCT SZAGI DCT DILLO Q4 FUSCO J15 INK J108 INW V291 PGS J72 BLD DCT WANDR DCT LOHLA DCT JEDNA Q158 BIKKR Q160 SHVVR DCT STUBL DCT EBTUW V23 LIN DCT TIPRE DCT KSFO	2608	LainoaSoftware
KBWI	KDEN	KBWI DCT OTTTO Q176 JUDDI J134 STL J151 OVR V6 GRI V8 AKO DCT MARZN DCT KDEN	2608	LainoaSoftware
KCLT	KDEN	KCLT DCT BNA J46 ARG V159 DGD T312 HUT V132 GLD DCT KDEN	2608	LainoaSoftware
KDCA	KRDU	KDCA DCT MELTN DCT KRDU	2608	LainoaSoftware
KDEN	KIND	KDEN DCT AKO V8 HCT J60 LNK J146 CNOTA J233 SKBOZ Q19 TWAIN J80 JAAVE DCT KIND	2608	LainoaSoftware
KELP	KPHX	KELP DCT FLOGS DCT SSO DCT KPHX	2608	LainoaSoftware
KIAD	KCLT	KIAD DCT GLANC DCT AIROW DCT KCLT	2608	LainoaSoftware
KJFK	KSAN	KJFK DCT KSAN	2608	LainoaSoftware
KJFK	MDPC	KJFK DCT MDPC	2608	LainoaSoftware
KLAX	KMSP	KLAX DCT BEALE DCT SUVIE V394 MMM V21 BERYL J107 DDY V298 HIKOX Q120 UFFDA DCT SSWAN DCT KMSP	2608	LainoaSoftware
KLAX	ZSPD	KLAX DCT TRTON DCT SADDE V107 FIM T263 DERBB J1 AVE T263 WINDY T261 GONGS V195 RBL J1 OED J501 TOU J523 YZT Q902 ANN J195 BKA J605 MDO Q16 ODK R341 NATES R220 NODAN R217 SDE Y512 GTC Y142 SAMON Y14 DGC Y28 ISAKY Y592 POTET A593 LAMEN G455 MATNU DCT ZSPD	2608	LainoaSoftware
KLGA	KMDW	KLGA DCT ASALT DCT RENUE V6 SBJ T430 ETX T299 DUMMR T438 RAV J64 BURNI Q62 DAIFE DCT BAGEL DCT KMDW	2608	LainoaSoftware
KMCO	MPTO	KMCO DCT UKAYY DCT MLB DCT EBAYY Q97 TOVAR Y297 URSUS R644 ULISU UL780 VUNIB DCT MPTO	2608	LainoaSoftware
KOKC	KDFW	KOKC DCT OLMPC DCT COFIX DCT IBAKE DCT KDFW	2608	LainoaSoftware
KORD	KAUS	KORD DCT ENDEE DCT SMARS T215 CPTON DCT MAROC DCT PIA T301 SPI J101 TWRAY J98 TUL J25 FUZ J21 ACT DCT WINDU DCT KAUS	2608	LainoaSoftware
KORD	KDSM	KORD DCT BODEE DCT VORIN J146 IOW J10 DSM DCT KDSM	2607	LainoaSoftware
KRNO	KLAX	KRNO DCT EPOSE DCT WAGGE DCT JIMPA V165 MARRI T401 EXTRA V165 TTE V459 AMONT V165 LHS DCT KLAX	2608	LainoaSoftware
KTPA	KEWR	KTPA DCT SYKES DCT MGNTY DCT BAYNE DCT BOLTS T491 SIROC DCT VIYAP Q87 RIDDN DCT BOUSY T287 MANGE T398 TAPPA T224 SHLBK DCT KEWR	2608	LainoaSoftware
KTUL	KDEN	KTUL DCT BELMN DCT BIKCA V532 JAMEY J23 ICT J28 GCK V17 WILVA DCT OATHE DCT KDEN	2608	LainoaSoftware
KTUS	KLAX	KTUS DCT BBALL DCT TFD J50 GBN Q166 MOHAK V66 BZA J18 IPL V137 ZUNGU DCT ADUDE DCT JLI DCT KLAX	2608	LainoaSoftware
LCEN	LTAC	LCEN DCT UMDOT A28 TELVO DCT LTAC	2608	LainoaSoftware
LGAV	LGSA	LGAV DCT ATV P169 MANOK DCT LGSA	2608	LainoaSoftware
LGSA	LGAV	LGSA DCT RUSOS J56 MIL B34 BADEL DCT LGAV	2608	LainoaSoftware
LPPR	LSGG	LPPR DCT TURON P600 STG M190 RONSI N873 DELOG DCT ABRIX DCT REPSI DCT MEBAK H38 RUSIT Z87 BELUS DCT LSGG	2608	LainoaSoftware
LPPT	LPPD	LPPT DCT ESP A44 BUSEN UM744 KOMUT DCT IRKID DCT 3825N DCT OMOBI DCT LPPD	2608	LainoaSoftware
LTAC	LCEN	LTAC DCT TELVO A28 DOREN DCT GIRNE DCT LCEN	2608	LainoaSoftware
MPTO	KMCO	MPTO DCT ANGUD DCT TBG UL465 ARNAL L465 EMASA UL465 GCM G448 IKBIX Y183 PEAKY Q118 FEMID DCT FORTL DCT COREA DCT KMCO	2608	LainoaSoftware
MSLP	KIAH	MSLP DCT KAPAN G436 AUR A770 BIBES UM207 CPE UJ9 TAJJO UT63 ESTUP DCT XUBSU UT22 ILOLI L207 SEAGL DCT KIAH	2608	LainoaSoftware
